calc,C:\WINDOWS\System32\calc.exe
calculator,C:\WINDOWS\System32\calc.exe
charmap,C:\WINDOWS\System32\charmap.exe
magnify,C:\WINDOWS\System32\Magnify.exe
osk,C:\WINDOWS\System32\osk.exe
msconfig,C:\WINDOWS\System32\msconfig.exe
devmgmt,C:\WINDOWS\System32\devmgmt.msc
terminal,C:\Users\Asus\AppData\Local\Microsoft\WindowsApps\wt.exe
wt,C:\Users\Asus\AppData\Local\Microsoft\WindowsApps\wt.exe
vscode,C:\Users\Asus\AppData\Local\Programs\Microsoft VS Code\Code.exe
code,C:\Users\Asus\AppData\Local\Programs\Microsoft VS Code\Code.exe
